itr	module_id	selected_gene	most_covered	least_covers	avg_covered	benefit	cost
1	0	TP53	0	4	1	4066	1.000000
2	0	TAF1	0	6	1	336	0.028397
3	1	TTN	0	9	2	3136	1.000000
4	2	PIK3CA	0	12	3	2037	1.000000
5	2	INSRR	0	15	3	321	0.018628
6	3	MUC16	0	15	3	1893	1.000000
7	2	PTEN	0	16	4	989	0.682886
8	4	CSMD3	0	17	4	1395	1.000000
9	1	NEB	0	17	4	551	0.471077
10	5	RYR2	0	17	4	1098	1.000000
11	5	RYR1	0	17	5	561	0.554507
12	6	MUC4	0	18	5	918	1.000000
13	6	ERBB2	0	18	5	301	0.097496
14	7	FLG	0	18	5	861	1.000000
15	8	USH2A	0	18	6	778	1.000000
16	9	SYNE1	0	18	6	701	1.000000
17	10	VHL	0	18	6	696	1.000000
18	11	EGFR	0	18	6	622	1.000000
19	11	PIK3R1	0	18	6	369	0.277566
20	11	KRAS	0	18	6	513	0.804861
21	12	APC	0	18	7	577	1.000000
22	12	JUP	0	18	7	88	0.090158
23	13	LRP1B	0	18	7	524	1.000000
24	14	DNAH5	0	18	7	493	1.000000
25	15	PBRM1	0	18	7	481	1.000000
26	16	HMCN1	0	18	7	462	1.000000
27	17	PKHD1L1	0	18	7	453	1.000000
28	18	MUC17	0	18	8	427	1.000000
29	19	ZFHX4	0	18	8	392	1.000000
30	20	HRNR	0	18	8	379	1.000000
31	21	CSMD1	0	18	8	363	1.000000
32	14	EIF3H	0	18	8	168	0.478165
33	22	FAT1	0	18	8	350	1.000000
34	23	ARID1A	0	18	8	333	1.000000
35	23	NRAS	0	18	8	108	0.077828
36	10	CDKN2A	0	18	8	303	0.927041
37	24	RYR3	0	18	8	312	1.000000
38	25	PLEC	0	18	9	307	1.000000
39	25	SPTA1	0	18	9	293	0.617643
40	10	MYC	0	18	9	213	0.744471
41	10	RB1	0	18	9	173	0.446971
42	26	GATA3	0	18	9	276	1.000000
43	27	EPPK1	0	18	9	268	1.000000
44	28	FRG1B	0	18	9	262	1.000000
45	26	APOB	0	18	9	250	0.969456
46	29	LRP2	0	18	9	241	1.000000
47	29	SLC9A3	0	18	9	74	0.264382
48	30	OBSCN	0	18	9	236	1.000000
49	31	FCGBP	0	18	9	225	1.000000
50	9	SUN5	0	18	9	51	0.228086
51	32	NF1	0	18	9	217	1.000000
52	33	FLT3	0	18	9	214	1.000000
53	34	DST	0	18	10	206	1.000000
54	35	UBR5	0	18	10	202	1.000000
55	36	PKHD1	0	18	10	199	1.000000
56	37	DNAH3	0	18	10	197	1.000000
57	38	SETD2	0	18	10	193	1.000000
58	38	POLR2H	0	18	10	60	0.253712
59	39	DMD	0	18	10	191	1.000000
60	35	KCNK1	0	18	10	51	0.273637
61	40	DNMT3A	0	18	10	186	1.000000
62	41	NPM1	0	18	10	186	1.000000
63	42	FAM135B	0	18	10	181	1.000000
64	43	FAT4	0	18	10	172	1.000000
65	43	CTNNB1	0	18	10	144	0.480644
66	44	MACF1	0	18	10	166	1.000000
67	44	SKIL	0	18	10	74	0.384854
68	45	GPR98	0	18	10	166	1.000000
69	46	NBPF1	0	18	10	162	1.000000
